variant,fold,seed,run_id,status
no_acquisition_classifier,0,804,fold0-no_acquisition_classifier-seed804-5e64cfd9e334aae5,completed
no_scanner_dependence,0,804,fold0-no_scanner_dependence-seed804-a747f2e1befeca0e,completed
no_cross_covariance,0,804,fold0-no_cross_covariance-seed804-58a19b3bae1be439,completed
paired_reference,0,805,fold0-paired_reference-seed805-529cd513c421c994,completed
two_branch_no_scanner_objectives,0,805,fold0-two_branch_no_scanner_objectives-seed805-40b92ef0cf7d7e2b,completed
pathoalign_dep20,0,805,fold0-pathoalign_dep20-seed805-92d6ec49d1237cd4,completed
no_adversary,0,805,fold0-no_adversary-seed805-a0209d68a1a9bc52,completed
no_acquisition_classifier,0,805,fold0-no_acquisition_classifier-seed805-d8e74b077f70122a,completed
no_scanner_dependence,0,805,fold0-no_scanner_dependence-seed805-174b93c15cb61d55,completed
no_cross_covariance,0,805,fold0-no_cross_covariance-seed805-159df55ddc36f11e,completed
paired_reference,1,801,fold1-paired_reference-seed801-f4dfd29218910e21,completed
two_branch_no_scanner_objectives,1,801,fold1-two_branch_no_scanner_objectives-seed801-5072efe419b2e88c,completed
pathoalign_dep20,1,801,fold1-pathoalign_dep20-seed801-27f4e444145758cc,completed
no_adversary,1,801,fold1-no_adversary-seed801-4c05458d629d88a8,completed
no_acquisition_classifier,1,801,fold1-no_acquisition_classifier-seed801-ac2d514034fce32f,completed
no_scanner_dependence,1,801,fold1-no_scanner_dependence-seed801-ae62823ce3685dae,completed
no_cross_covariance,1,801,fold1-no_cross_covariance-seed801-e7c9c5dabf49525e,completed
paired_reference,1,802,fold1-paired_reference-seed802-5e29534f5e0f1c84,completed
two_branch_no_scanner_objectives,1,802,fold1-two_branch_no_scanner_objectives-seed802-7e02bac895c715c7,completed
pathoalign_dep20,1,802,fold1-pathoalign_dep20-seed802-05f04896be90dfd1,completed
no_adversary,1,802,fold1-no_adversary-seed802-8fdc6cb77ab40c44,completed
no_acquisition_classifier,1,802,fold1-no_acquisition_classifier-seed802-9815955efad004f8,completed
no_scanner_dependence,1,802,fold1-no_scanner_dependence-seed802-0fe941dfad682d61,completed
no_cross_covariance,1,802,fold1-no_cross_covariance-seed802-ad57331268ca15f1,completed
paired_reference,1,803,fold1-paired_reference-seed803-b66e437d5e0e41d7,completed
two_branch_no_scanner_objectives,1,803,fold1-two_branch_no_scanner_objectives-seed803-961041ff3486cb22,completed
pathoalign_dep20,1,803,fold1-pathoalign_dep20-seed803-58b3c7d8f69b2e7e,completed
no_adversary,1,803,fold1-no_adversary-seed803-106c2ecba2a70a5a,completed
no_acquisition_classifier,1,803,fold1-no_acquisition_classifier-seed803-37a7034b4ae0100e,completed
no_scanner_dependence,1,803,fold1-no_scanner_dependence-seed803-4f4045983e43dc7f,completed
no_cross_covariance,1,803,fold1-no_cross_covariance-seed803-9a1a8b193377103d,completed
paired_reference,1,804,fold1-paired_reference-seed804-68535c0d89549d38,completed
two_branch_no_scanner_objectives,1,804,fold1-two_branch_no_scanner_objectives-seed804-efbece1f1c4af4c8,completed
pathoalign_dep20,1,804,fold1-pathoalign_dep20-seed804-21a14c66d0cf592c,completed
no_adversary,1,804,fold1-no_adversary-seed804-031b9cfadaa94514,completed
no_acquisition_classifier,1,804,fold1-no_acquisition_classifier-seed804-78dea2eccd90f3f3,completed
no_scanner_dependence,1,804,fold1-no_scanner_dependence-seed804-acccd5f6712cf531,completed
no_cross_covariance,1,804,fold1-no_cross_covariance-seed804-fb7e08e5cec28f44,completed
paired_reference,1,805,fold1-paired_reference-seed805-ffdaa0768f7ce4b8,completed
two_branch_no_scanner_objectives,1,805,fold1-two_branch_no_scanner_objectives-seed805-0b7cb7decdeb4796,completed
pathoalign_dep20,1,805,fold1-pathoalign_dep20-seed805-adeb32993e1162cc,completed
no_adversary,1,805,fold1-no_adversary-seed805-a0fde1f46523ac3e,completed
no_acquisition_classifier,1,805,fold1-no_acquisition_classifier-seed805-2eb4789a82dae741,completed
no_scanner_dependence,1,805,fold1-no_scanner_dependence-seed805-acf706e132e10069,completed
no_cross_covariance,1,805,fold1-no_cross_covariance-seed805-0c1edc0c6b0c3495,completed
paired_reference,2,801,fold2-paired_reference-seed801-4587dcfb106abe86,completed
two_branch_no_scanner_objectives,2,801,fold2-two_branch_no_scanner_objectives-seed801-2d9503d653a69b84,completed
pathoalign_dep20,2,801,fold2-pathoalign_dep20-seed801-7dea92ea551ddfab,completed
no_adversary,2,801,fold2-no_adversary-seed801-c7bac1ca26856b87,completed
no_acquisition_classifier,2,801,fold2-no_acquisition_classifier-seed801-4ddbb0848af77efc,completed
no_scanner_dependence,2,801,fold2-no_scanner_dependence-seed801-19f973d22ad64c11,completed
no_cross_covariance,2,801,fold2-no_cross_covariance-seed801-0d2d22fe91b0ad4c,completed
paired_reference,2,802,fold2-paired_reference-seed802-9867255d89a5a663,completed
two_branch_no_scanner_objectives,2,802,fold2-two_branch_no_scanner_objectives-seed802-cfc17999c7c32b61,completed
pathoalign_dep20,2,802,fold2-pathoalign_dep20-seed802-02cc7e90c3f74285,completed
no_adversary,2,802,fold2-no_adversary-seed802-499946c0df4827db,completed
no_acquisition_classifier,2,802,fold2-no_acquisition_classifier-seed802-0be44bae02f9c0b2,completed
no_scanner_dependence,2,802,fold2-no_scanner_dependence-seed802-1326346bec411df4,completed
no_cross_covariance,2,802,fold2-no_cross_covariance-seed802-001def6bc7adf83d,completed
paired_reference,2,803,fold2-paired_reference-seed803-10fff95994d4e8d6,completed
two_branch_no_scanner_objectives,2,803,fold2-two_branch_no_scanner_objectives-seed803-70a14a02785f6b03,completed
pathoalign_dep20,2,803,fold2-pathoalign_dep20-seed803-11e006b8c92b478e,completed
no_adversary,2,803,fold2-no_adversary-seed803-fa4da8f8fe1b195a,completed
no_acquisition_classifier,2,803,fold2-no_acquisition_classifier-seed803-7632d47dbe822f53,completed
no_scanner_dependence,2,803,fold2-no_scanner_dependence-seed803-756f48430fd2b5ca,completed
no_cross_covariance,2,803,fold2-no_cross_covariance-seed803-0d701ed22db96cda,completed
paired_reference,2,804,fold2-paired_reference-seed804-630a5cc8ae484c97,completed
two_branch_no_scanner_objectives,2,804,fold2-two_branch_no_scanner_objectives-seed804-f9385d1861627515,completed
pathoalign_dep20,2,804,fold2-pathoalign_dep20-seed804-37f842f5f91a24a9,completed
no_adversary,2,804,fold2-no_adversary-seed804-7607fe1107786a6c,completed
no_acquisition_classifier,2,804,fold2-no_acquisition_classifier-seed804-dc3e71f3add3e52a,completed
no_scanner_dependence,2,804,fold2-no_scanner_dependence-seed804-2c843edee64c7827,completed
no_cross_covariance,2,804,fold2-no_cross_covariance-seed804-abbf2e97e6509cfa,completed
paired_reference,2,805,fold2-paired_reference-seed805-8729febe9bd5bd5a,completed
two_branch_no_scanner_objectives,2,805,fold2-two_branch_no_scanner_objectives-seed805-edd31f25d2214fec,completed
pathoalign_dep20,2,805,fold2-pathoalign_dep20-seed805-c847c1b984ed8abb,completed
no_adversary,2,805,fold2-no_adversary-seed805-e11da2db69fcc62a,completed
no_acquisition_classifier,2,805,fold2-no_acquisition_classifier-seed805-1096eeb5540f9182,completed
no_scanner_dependence,2,805,fold2-no_scanner_dependence-seed805-d09a0f5085969fa4,completed
no_cross_covariance,2,805,fold2-no_cross_covariance-seed805-d2399a2564e12b0b,completed
paired_reference,3,801,fold3-paired_reference-seed801-90951669e855c1d6,completed
two_branch_no_scanner_objectives,3,801,fold3-two_branch_no_scanner_objectives-seed801-39cb95c1184e8545,completed
pathoalign_dep20,3,801,fold3-pathoalign_dep20-seed801-7c9ffbf17c94d36f,completed
no_adversary,3,801,fold3-no_adversary-seed801-58f2c74c8a8759d3,completed
no_acquisition_classifier,3,801,fold3-no_acquisition_classifier-seed801-bc140340287af636,completed
no_scanner_dependence,3,801,fold3-no_scanner_dependence-seed801-da4e61456e7f9d19,completed
no_cross_covariance,3,801,fold3-no_cross_covariance-seed801-b8302fae70e48fab,completed
paired_reference,3,802,fold3-paired_reference-seed802-a8936cf3d59a2ab0,completed
two_branch_no_scanner_objectives,3,802,fold3-two_branch_no_scanner_objectives-seed802-0bde4aa37011674d,completed
pathoalign_dep20,3,802,fold3-pathoalign_dep20-seed802-0d826a14158b802c,completed
no_adversary,3,802,fold3-no_adversary-seed802-59bdfd63f508ab86,completed
no_acquisition_classifier,3,802,fold3-no_acquisition_classifier-seed802-38024593e479b915,completed
no_scanner_dependence,3,802,fold3-no_scanner_dependence-seed802-8943c678795388b5,completed
no_cross_covariance,3,802,fold3-no_cross_covariance-seed802-892c9c1371aab2b2,completed
paired_reference,3,803,fold3-paired_reference-seed803-290283f6842cf987,completed
two_branch_no_scanner_objectives,3,803,fold3-two_branch_no_scanner_objectives-seed803-1ab218dca527ac4d,completed
pathoalign_dep20,3,803,fold3-pathoalign_dep20-seed803-7ac9296a09782eeb,completed
no_adversary,3,803,fold3-no_adversary-seed803-2933da8aad59bbc4,completed
no_acquisition_classifier,3,803,fold3-no_acquisition_classifier-seed803-f0628358fdcf4443,completed
no_scanner_dependence,3,803,fold3-no_scanner_dependence-seed803-06d7508c1e3aaff3,completed
no_cross_covariance,3,803,fold3-no_cross_covariance-seed803-3ebbc85e25a98533,completed
paired_reference,3,804,fold3-paired_reference-seed804-cf393fa022b18028,completed
two_branch_no_scanner_objectives,3,804,fold3-two_branch_no_scanner_objectives-seed804-561e5c6e1080d97d,completed
pathoalign_dep20,3,804,fold3-pathoalign_dep20-seed804-341f43894202117e,completed
no_adversary,3,804,fold3-no_adversary-seed804-21bc92ae9bdbdda1,completed
no_acquisition_classifier,3,804,fold3-no_acquisition_classifier-seed804-51e3976b1a3f3140,completed
no_scanner_dependence,3,804,fold3-no_scanner_dependence-seed804-22ec222bfbafda7c,completed
no_cross_covariance,3,804,fold3-no_cross_covariance-seed804-87e764ebb4dd039b,completed
paired_reference,3,805,fold3-paired_reference-seed805-951a79460efa4366,completed
two_branch_no_scanner_objectives,3,805,fold3-two_branch_no_scanner_objectives-seed805-b8d923b2ab5de251,completed
pathoalign_dep20,3,805,fold3-pathoalign_dep20-seed805-2b019e59ff17579d,completed
no_adversary,3,805,fold3-no_adversary-seed805-f349b1d8d23c6a4d,completed
no_acquisition_classifier,3,805,fold3-no_acquisition_classifier-seed805-e16210eeae5016b3,completed
no_scanner_dependence,3,805,fold3-no_scanner_dependence-seed805-510b4cf305258514,completed
no_cross_covariance,3,805,fold3-no_cross_covariance-seed805-4d138245170954e5,completed
paired_reference,4,801,fold4-paired_reference-seed801-4461c12c5fc6d887,completed
two_branch_no_scanner_objectives,4,801,fold4-two_branch_no_scanner_objectives-seed801-a62d6b3d20bd4762,completed
pathoalign_dep20,4,801,fold4-pathoalign_dep20-seed801-d00f0fff0e270121,completed
no_adversary,4,801,fold4-no_adversary-seed801-0bd5f7e48c7f7996,completed
no_acquisition_classifier,4,801,fold4-no_acquisition_classifier-seed801-21f65f92184813bb,completed
no_scanner_dependence,4,801,fold4-no_scanner_dependence-seed801-06ea1e99e85d426e,completed
no_cross_covariance,4,801,fold4-no_cross_covariance-seed801-216b247e13174294,completed
paired_reference,4,802,fold4-paired_reference-seed802-45b2d79c737667e3,completed
two_branch_no_scanner_objectives,4,802,fold4-two_branch_no_scanner_objectives-seed802-12df39ded51f6876,completed
pathoalign_dep20,4,802,fold4-pathoalign_dep20-seed802-9e46641cfac5dc8c,completed
no_adversary,4,802,fold4-no_adversary-seed802-c630733f9e28c541,completed
no_acquisition_classifier,4,802,fold4-no_acquisition_classifier-seed802-944fe8c24a042e3f,completed
no_scanner_dependence,4,802,fold4-no_scanner_dependence-seed802-bb691d83920de525,completed
no_cross_covariance,4,802,fold4-no_cross_covariance-seed802-d69c8848fca54f52,completed
paired_reference,4,803,fold4-paired_reference-seed803-f318652b8d1d24b6,completed
two_branch_no_scanner_objectives,4,803,fold4-two_branch_no_scanner_objectives-seed803-46eb34f05a4b7be7,completed
pathoalign_dep20,4,803,fold4-pathoalign_dep20-seed803-363ee1fe43090055,completed
no_adversary,4,803,fold4-no_adversary-seed803-7c76e28f445c155e,completed
no_acquisition_classifier,4,803,fold4-no_acquisition_classifier-seed803-c8fddade555579ba,completed
no_scanner_dependence,4,803,fold4-no_scanner_dependence-seed803-d812c81b7f1b64aa,completed
no_cross_covariance,4,803,fold4-no_cross_covariance-seed803-6febb1e51d4ca681,completed
paired_reference,4,804,fold4-paired_reference-seed804-7a1232c48fb27bc0,completed
two_branch_no_scanner_objectives,4,804,fold4-two_branch_no_scanner_objectives-seed804-9fd3b69c49e55906,completed
pathoalign_dep20,4,804,fold4-pathoalign_dep20-seed804-19cc2a4f69508554,completed
no_adversary,4,804,fold4-no_adversary-seed804-02d712e1ee52f379,completed
no_acquisition_classifier,4,804,fold4-no_acquisition_classifier-seed804-73ca0ee229802323,completed
no_scanner_dependence,4,804,fold4-no_scanner_dependence-seed804-47d3d832770751bc,completed
no_cross_covariance,4,804,fold4-no_cross_covariance-seed804-883d392e8c92c6f1,completed
paired_reference,4,805,fold4-paired_reference-seed805-b4584d212a42ea5b,completed
two_branch_no_scanner_objectives,4,805,fold4-two_branch_no_scanner_objectives-seed805-88b8fd237304f7f4,completed
pathoalign_dep20,4,805,fold4-pathoalign_dep20-seed805-d0c12ca42f2c2ff3,completed
no_adversary,4,805,fold4-no_adversary-seed805-41a9e60d5b3ddd65,completed
no_acquisition_classifier,4,805,fold4-no_acquisition_classifier-seed805-f52423b2dd52d7b4,completed
no_scanner_dependence,4,805,fold4-no_scanner_dependence-seed805-515986d148d60792,completed
no_cross_covariance,4,805,fold4-no_cross_covariance-seed805-505d5e948054e583,completed
