category,scanner,is_assigned,n_total_fit,n_kept,retain_fraction_actual,fold,confounding_seed,strength
Inflamm/Necrosis,cs2,False,64,2,0.03125,0,2001,severe
Inflamm/Necrosis,gt450,True,64,63,0.984375,0,2001,severe
Inflamm/Necrosis,nz20,True,64,58,0.90625,0,2001,severe
Inflamm/Necrosis,nz210,False,64,5,0.078125,0,2001,severe
Inflamm/Necrosis,p1000,False,64,2,0.03125,0,2001,severe
SCC,cs2,False,188,8,0.0425531914893617,0,2001,severe
SCC,gt450,False,188,12,0.06382978723404255,0,2001,severe
SCC,nz20,True,188,179,0.9521276595744681,0,2001,severe
SCC,nz210,True,188,178,0.9468085106382979,0,2001,severe
SCC,p1000,False,188,8,0.0425531914893617,0,2001,severe
Subcutis,cs2,False,87,4,0.04597701149425287,0,2001,severe
Subcutis,gt450,True,87,83,0.9540229885057471,0,2001,severe
Subcutis,nz20,True,87,82,0.9425287356321839,0,2001,severe
Subcutis,nz210,False,87,3,0.034482758620689655,0,2001,severe
Subcutis,p1000,False,87,6,0.06896551724137931,0,2001,severe
Bone,cs2,False,30,13,0.43333333333333335,0,2002,mild
Bone,gt450,False,30,11,0.36666666666666664,0,2002,mild
Bone,nz20,False,30,12,0.4,0,2002,mild
Bone,nz210,True,30,18,0.6,0,2002,mild
Bone,p1000,True,30,18,0.6,0,2002,mild
Cartilage,cs2,False,2,1,0.5,0,2002,mild
Cartilage,gt450,False,2,0,0.0,0,2002,mild
Cartilage,nz20,True,2,2,1.0,0,2002,mild
Cartilage,nz210,False,2,1,0.5,0,2002,mild
Cartilage,p1000,True,2,0,0.0,0,2002,mild
Dermis,cs2,False,81,28,0.345679012345679,0,2002,mild
Dermis,gt450,True,81,45,0.5555555555555556,0,2002,mild
Dermis,nz20,False,81,36,0.4444444444444444,0,2002,mild
Dermis,nz210,False,81,33,0.4074074074074074,0,2002,mild
Dermis,p1000,True,81,52,0.6419753086419753,0,2002,mild
Epidermis,cs2,True,209,126,0.6028708133971292,0,2002,mild
Epidermis,gt450,False,209,71,0.3397129186602871,0,2002,mild
Epidermis,nz20,False,209,86,0.41148325358851673,0,2002,mild
Epidermis,nz210,False,209,93,0.4449760765550239,0,2002,mild
Epidermis,p1000,True,209,124,0.5933014354066986,0,2002,mild
Inflamm/Necrosis,cs2,True,64,42,0.65625,0,2002,mild
Inflamm/Necrosis,gt450,False,64,25,0.390625,0,2002,mild
Inflamm/Necrosis,nz20,False,64,22,0.34375,0,2002,mild
Inflamm/Necrosis,nz210,True,64,34,0.53125,0,2002,mild
Inflamm/Necrosis,p1000,False,64,29,0.453125,0,2002,mild
SCC,cs2,True,188,115,0.6117021276595744,0,2002,mild
SCC,gt450,False,188,80,0.425531914893617,0,2002,mild
SCC,nz20,False,188,67,0.35638297872340424,0,2002,mild
SCC,nz210,True,188,110,0.5851063829787234,0,2002,mild
SCC,p1000,False,188,78,0.4148936170212766,0,2002,mild
Subcutis,cs2,True,87,49,0.5632183908045977,0,2002,mild
Subcutis,gt450,False,87,31,0.3563218390804598,0,2002,mild
Subcutis,nz20,True,87,55,0.632183908045977,0,2002,mild
Subcutis,nz210,False,87,38,0.4367816091954023,0,2002,mild
Subcutis,p1000,False,87,35,0.40229885057471265,0,2002,mild
Bone,cs2,False,30,6,0.2,0,2002,moderate
Bone,gt450,False,30,5,0.16666666666666666,0,2002,moderate
Bone,nz20,False,30,6,0.2,0,2002,moderate
Bone,nz210,True,30,24,0.8,0,2002,moderate
Bone,p1000,True,30,24,0.8,0,2002,moderate
Cartilage,cs2,False,2,0,0.0,0,2002,moderate
Cartilage,gt450,True,2,2,1.0,0,2002,moderate
Cartilage,nz20,True,2,1,0.5,0,2002,moderate
Cartilage,nz210,False,2,0,0.0,0,2002,moderate
Cartilage,p1000,False,2,1,0.5,0,2002,moderate
Dermis,cs2,False,81,14,0.1728395061728395,0,2002,moderate
Dermis,gt450,False,81,16,0.19753086419753085,0,2002,moderate
Dermis,nz20,True,81,65,0.8024691358024691,0,2002,moderate
Dermis,nz210,True,81,64,0.7901234567901234,0,2002,moderate
Dermis,p1000,False,81,18,0.2222222222222222,0,2002,moderate
Epidermis,cs2,False,209,43,0.20574162679425836,0,2002,moderate
Epidermis,gt450,False,209,45,0.215311004784689,0,2002,moderate
Epidermis,nz20,False,209,37,0.17703349282296652,0,2002,moderate
Epidermis,nz210,True,209,169,0.8086124401913876,0,2002,moderate
Epidermis,p1000,True,209,165,0.7894736842105263,0,2002,moderate
Inflamm/Necrosis,cs2,False,64,14,0.21875,0,2002,moderate
Inflamm/Necrosis,gt450,True,64,54,0.84375,0,2002,moderate
Inflamm/Necrosis,nz20,True,64,48,0.75,0,2002,moderate
Inflamm/Necrosis,nz210,False,64,11,0.171875,0,2002,moderate
Inflamm/Necrosis,p1000,False,64,13,0.203125,0,2002,moderate
SCC,cs2,False,188,36,0.19148936170212766,0,2002,moderate
SCC,gt450,False,188,42,0.22340425531914893,0,2002,moderate
SCC,nz20,False,188,34,0.18085106382978725,0,2002,moderate
SCC,nz210,True,188,153,0.8138297872340425,0,2002,moderate
SCC,p1000,True,188,147,0.7819148936170213,0,2002,moderate
Subcutis,cs2,False,87,16,0.1839080459770115,0,2002,moderate
Subcutis,gt450,False,87,20,0.22988505747126436,0,2002,moderate
Subcutis,nz20,True,87,71,0.8160919540229885,0,2002,moderate
Subcutis,nz210,False,87,16,0.1839080459770115,0,2002,moderate
Subcutis,p1000,True,87,68,0.7816091954022989,0,2002,moderate
Bone,cs2,False,30,1,0.03333333333333333,0,2002,severe
Bone,gt450,False,30,1,0.03333333333333333,0,2002,severe
Bone,nz20,False,30,2,0.06666666666666667,0,2002,severe
Bone,nz210,True,30,28,0.9333333333333333,0,2002,severe
Bone,p1000,True,30,29,0.9666666666666667,0,2002,severe
Cartilage,cs2,False,2,0,0.0,0,2002,severe
Cartilage,gt450,False,2,1,0.5,0,2002,severe
Cartilage,nz20,True,2,2,1.0,0,2002,severe
Cartilage,nz210,True,2,1,0.5,0,2002,severe
Cartilage,p1000,False,2,0,0.0,0,2002,severe
Dermis,cs2,False,81,1,0.012345679012345678,0,2002,severe
Dermis,gt450,True,81,76,0.9382716049382716,0,2002,severe
Dermis,nz20,True,81,77,0.9506172839506173,0,2002,severe
Dermis,nz210,False,81,8,0.09876543209876543,0,2002,severe
Dermis,p1000,False,81,3,0.037037037037037035,0,2002,severe
Epidermis,cs2,True,209,199,0.9521531100478469,0,2002,severe
Epidermis,gt450,False,209,8,0.03827751196172249,0,2002,severe
Epidermis,nz20,False,209,12,0.05741626794258373,0,2002,severe
Epidermis,nz210,True,209,198,0.9473684210526315,0,2002,severe
Epidermis,p1000,False,209,11,0.05263157894736842,0,2002,severe
Inflamm/Necrosis,cs2,False,64,3,0.046875,0,2002,severe
Inflamm/Necrosis,gt450,False,64,3,0.046875,0,2002,severe
Inflamm/Necrosis,nz20,True,64,59,0.921875,0,2002,severe
Inflamm/Necrosis,nz210,False,64,3,0.046875,0,2002,severe
Inflamm/Necrosis,p1000,True,64,62,0.96875,0,2002,severe
SCC,cs2,True,188,176,0.9361702127659575,0,2002,severe
SCC,gt450,False,188,7,0.03723404255319149,0,2002,severe
SCC,nz20,True,188,181,0.9627659574468085,0,2002,severe
SCC,nz210,False,188,11,0.05851063829787234,0,2002,severe
SCC,p1000,False,188,10,0.05319148936170213,0,2002,severe
Subcutis,cs2,True,87,81,0.9310344827586207,0,2002,severe
Subcutis,gt450,True,87,84,0.9655172413793104,0,2002,severe
Subcutis,nz20,False,87,6,0.06896551724137931,0,2002,severe
Subcutis,nz210,False,87,1,0.011494252873563218,0,2002,severe
Subcutis,p1000,False,87,6,0.06896551724137931,0,2002,severe
Bone,cs2,False,30,13,0.43333333333333335,0,2003,mild
Bone,gt450,True,30,15,0.5,0,2003,mild
Bone,nz20,False,30,14,0.4666666666666667,0,2003,mild
Bone,nz210,True,30,21,0.7,0,2003,mild
Bone,p1000,False,30,9,0.3,0,2003,mild
Cartilage,cs2,False,2,1,0.5,0,2003,mild
Cartilage,gt450,False,2,0,0.0,0,2003,mild
Cartilage,nz20,False,2,1,0.5,0,2003,mild
Cartilage,nz210,True,2,1,0.5,0,2003,mild
Cartilage,p1000,True,2,1,0.5,0,2003,mild
Dermis,cs2,False,81,36,0.4444444444444444,0,2003,mild
Dermis,gt450,False,81,33,0.4074074074074074,0,2003,mild
Dermis,nz20,False,81,28,0.345679012345679,0,2003,mild
Dermis,nz210,True,81,48,0.5925925925925926,0,2003,mild
Dermis,p1000,True,81,49,0.6049382716049383,0,2003,mild
Epidermis,cs2,True,209,115,0.5502392344497608,0,2003,mild
Epidermis,gt450,True,209,135,0.645933014354067,0,2003,mild
Epidermis,nz20,False,209,69,0.33014354066985646,0,2003,mild
Epidermis,nz210,False,209,89,0.4258373205741627,0,2003,mild
Epidermis,p1000,False,209,92,0.44019138755980863,0,2003,mild
Inflamm/Necrosis,cs2,True,64,39,0.609375,0,2003,mild
Inflamm/Necrosis,gt450,True,64,37,0.578125,0,2003,mild
Inflamm/Necrosis,nz20,False,64,28,0.4375,0,2003,mild
Inflamm/Necrosis,nz210,False,64,28,0.4375,0,2003,mild
Inflamm/Necrosis,p1000,False,64,20,0.3125,0,2003,mild
SCC,cs2,True,188,122,0.648936170212766,0,2003,mild
SCC,gt450,True,188,103,0.5478723404255319,0,2003,mild
SCC,nz20,False,188,78,0.4148936170212766,0,2003,mild
SCC,nz210,False,188,71,0.3776595744680851,0,2003,mild
SCC,p1000,False,188,76,0.40425531914893614,0,2003,mild
Subcutis,cs2,True,87,52,0.5977011494252874,0,2003,mild
Subcutis,gt450,False,87,31,0.3563218390804598,0,2003,mild
Subcutis,nz20,False,87,38,0.4367816091954023,0,2003,mild
Subcutis,nz210,True,87,52,0.5977011494252874,0,2003,mild
Subcutis,p1000,False,87,35,0.40229885057471265,0,2003,mild
Bone,cs2,False,30,4,0.13333333333333333,0,2003,moderate
Bone,gt450,True,30,23,0.7666666666666667,0,2003,moderate
Bone,nz20,False,30,8,0.26666666666666666,0,2003,moderate
Bone,nz210,True,30,25,0.8333333333333334,0,2003,moderate
Bone,p1000,False,30,5,0.16666666666666666,0,2003,moderate
Cartilage,cs2,False,2,0,0.0,0,2003,moderate
Cartilage,gt450,False,2,0,0.0,0,2003,moderate
Cartilage,nz20,True,2,1,0.5,0,2003,moderate
Cartilage,nz210,False,2,1,0.5,0,2003,moderate
Cartilage,p1000,True,2,2,1.0,0,2003,moderate
Dermis,cs2,False,81,15,0.18518518518518517,0,2003,moderate
Dermis,gt450,True,81,66,0.8148148148148148,0,2003,moderate
Dermis,nz20,True,81,63,0.7777777777777778,0,2003,moderate
Dermis,nz210,False,81,20,0.24691358024691357,0,2003,moderate
Dermis,p1000,False,81,13,0.16049382716049382,0,2003,moderate
Epidermis,cs2,False,209,44,0.21052631578947367,0,2003,moderate
Epidermis,gt450,True,209,166,0.7942583732057417,0,2003,moderate
Epidermis,nz20,True,209,168,0.8038277511961722,0,2003,moderate
Epidermis,nz210,False,209,35,0.1674641148325359,0,2003,moderate
Epidermis,p1000,False,209,46,0.22009569377990432,0,2003,moderate
Inflamm/Necrosis,cs2,False,64,16,0.25,0,2003,moderate
Inflamm/Necrosis,gt450,True,64,53,0.828125,0,2003,moderate
Inflamm/Necrosis,nz20,False,64,8,0.125,0,2003,moderate
Inflamm/Necrosis,nz210,False,64,14,0.21875,0,2003,moderate
Inflamm/Necrosis,p1000,True,64,49,0.765625,0,2003,moderate
SCC,cs2,True,188,154,0.8191489361702128,0,2003,moderate
SCC,gt450,True,188,146,0.776595744680851,0,2003,moderate
SCC,nz20,False,188,44,0.23404255319148937,0,2003,moderate
SCC,nz210,False,188,37,0.19680851063829788,0,2003,moderate
SCC,p1000,False,188,31,0.16489361702127658,0,2003,moderate
Subcutis,cs2,True,87,65,0.7471264367816092,0,2003,moderate
Subcutis,gt450,False,87,18,0.20689655172413793,0,2003,moderate
Subcutis,nz20,False,87,19,0.21839080459770116,0,2003,moderate
Subcutis,nz210,False,87,15,0.1724137931034483,0,2003,moderate
Subcutis,p1000,True,87,74,0.8505747126436781,0,2003,moderate
Bone,cs2,False,30,0,0.0,0,2003,severe
Bone,gt450,True,30,30,1.0,0,2003,severe
Bone,nz20,False,30,3,0.1,0,2003,severe
Bone,nz210,True,30,27,0.9,0,2003,severe
Bone,p1000,False,30,1,0.03333333333333333,0,2003,severe
Cartilage,cs2,False,2,1,0.5,0,2003,severe
Cartilage,gt450,False,2,0,0.0,0,2003,severe
Cartilage,nz20,True,2,1,0.5,0,2003,severe
Cartilage,nz210,True,2,2,1.0,0,2003,severe
Cartilage,p1000,False,2,0,0.0,0,2003,severe
Dermis,cs2,False,81,5,0.06172839506172839,0,2003,severe
Dermis,gt450,True,81,75,0.9259259259259259,0,2003,severe
Dermis,nz20,False,81,5,0.06172839506172839,0,2003,severe
Dermis,nz210,False,81,2,0.024691358024691357,0,2003,severe
Dermis,p1000,True,81,78,0.9629629629629629,0,2003,severe
Epidermis,cs2,False,209,13,0.06220095693779904,0,2003,severe
Epidermis,gt450,True,209,199,0.9521531100478469,0,2003,severe
Epidermis,nz20,False,209,7,0.03349282296650718,0,2003,severe
Epidermis,nz210,False,209,11,0.05263157894736842,0,2003,severe
Epidermis,p1000,True,209,198,0.9473684210526315,0,2003,severe
Inflamm/Necrosis,cs2,False,64,2,0.03125,0,2003,severe
Inflamm/Necrosis,gt450,False,64,3,0.046875,0,2003,severe
Inflamm/Necrosis,nz20,True,64,59,0.921875,0,2003,severe
Inflamm/Necrosis,nz210,True,64,62,0.96875,0,2003,severe
Inflamm/Necrosis,p1000,False,64,4,0.0625,0,2003,severe
SCC,cs2,True,188,179,0.9521276595744681,0,2003,severe
SCC,gt450,False,188,9,0.047872340425531915,0,2003,severe
SCC,nz20,False,188,10,0.05319148936170213,0,2003,severe
SCC,nz210,False,188,9,0.047872340425531915,0,2003,severe
SCC,p1000,True,188,178,0.9468085106382979,0,2003,severe
Subcutis,cs2,False,87,2,0.022988505747126436,0,2003,severe
Subcutis,gt450,True,87,83,0.9540229885057471,0,2003,severe
Subcutis,nz20,False,87,8,0.09195402298850575,0,2003,severe
Subcutis,nz210,False,87,3,0.034482758620689655,0,2003,severe
Subcutis,p1000,True,87,82,0.9425287356321839,0,2003,severe
Bone,cs2,False,30,12,0.4,0,2004,mild
Bone,gt450,False,30,16,0.5333333333333333,0,2004,mild
Bone,nz20,True,30,21,0.7,0,2004,mild
Bone,nz210,True,30,15,0.5,0,2004,mild
Bone,p1000,False,30,8,0.26666666666666666,0,2004,mild
Cartilage,cs2,False,2,0,0.0,0,2004,mild
Cartilage,gt450,False,2,2,1.0,0,2004,mild
Cartilage,nz20,True,2,1,0.5,0,2004,mild
Cartilage,nz210,False,2,0,0.0,0,2004,mild
Cartilage,p1000,True,2,1,0.5,0,2004,mild
Dermis,cs2,False,81,31,0.38271604938271603,0,2004,mild
Dermis,gt450,False,81,32,0.3950617283950617,0,2004,mild
Dermis,nz20,False,81,34,0.41975308641975306,0,2004,mild
Dermis,nz210,True,81,52,0.6419753086419753,0,2004,mild
Dermis,p1000,True,81,45,0.5555555555555556,0,2004,mild
Epidermis,cs2,False,209,90,0.430622009569378,0,2004,mild
Epidermis,gt450,False,209,77,0.3684210526315789,0,2004,mild
Epidermis,nz20,True,209,123,0.5885167464114832,0,2004,mild
Epidermis,nz210,True,209,127,0.6076555023923444,0,2004,mild
Epidermis,p1000,False,209,83,0.39712918660287083,0,2004,mild
Inflamm/Necrosis,cs2,True,64,37,0.578125,0,2004,mild
Inflamm/Necrosis,gt450,False,64,27,0.421875,0,2004,mild
Inflamm/Necrosis,nz20,True,64,39,0.609375,0,2004,mild
Inflamm/Necrosis,nz210,False,64,29,0.453125,0,2004,mild
Inflamm/Necrosis,p1000,False,64,20,0.3125,0,2004,mild
SCC,cs2,True,188,119,0.6329787234042553,0,2004,mild
SCC,gt450,True,188,106,0.5638297872340425,0,2004,mild
SCC,nz20,False,188,70,0.3723404255319149,0,2004,mild
SCC,nz210,False,188,78,0.4148936170212766,0,2004,mild
SCC,p1000,False,188,77,0.4095744680851064,0,2004,mild
Subcutis,cs2,True,87,54,0.6206896551724138,0,2004,mild
Subcutis,gt450,False,87,37,0.42528735632183906,0,2004,mild
Subcutis,nz20,False,87,36,0.41379310344827586,0,2004,mild
Subcutis,nz210,True,87,50,0.5747126436781609,0,2004,mild
Subcutis,p1000,False,87,31,0.3563218390804598,0,2004,mild
Bone,cs2,False,30,6,0.2,0,2004,moderate
Bone,gt450,False,30,4,0.13333333333333333,0,2004,moderate
Bone,nz20,True,30,21,0.7,0,2004,moderate
Bone,nz210,True,30,27,0.9,0,2004,moderate
Bone,p1000,False,30,7,0.23333333333333334,0,2004,moderate
Cartilage,cs2,False,2,1,0.5,0,2004,moderate
Cartilage,gt450,False,2,0,0.0,0,2004,moderate
Cartilage,nz20,True,2,2,1.0,0,2004,moderate
Cartilage,nz210,True,2,1,0.5,0,2004,moderate
Cartilage,p1000,False,2,0,0.0,0,2004,moderate
Dermis,cs2,True,81,66,0.8148148148148148,0,2004,moderate
Dermis,gt450,True,81,63,0.7777777777777778,0,2004,moderate
Dermis,nz20,False,81,14,0.1728395061728395,0,2004,moderate
Dermis,nz210,False,81,20,0.24691358024691357,0,2004,moderate
Dermis,p1000,False,81,14,0.1728395061728395,0,2004,moderate
Epidermis,cs2,False,209,34,0.16267942583732056,0,2004,moderate
Epidermis,gt450,False,209,52,0.24880382775119617,0,2004,moderate
Epidermis,nz20,True,209,166,0.7942583732057417,0,2004,moderate
Epidermis,nz210,False,209,39,0.18660287081339713,0,2004,moderate
Epidermis,p1000,True,209,168,0.8038277511961722,0,2004,moderate
Inflamm/Necrosis,cs2,True,64,55,0.859375,0,2004,moderate
Inflamm/Necrosis,gt450,False,64,11,0.171875,0,2004,moderate
Inflamm/Necrosis,nz20,False,64,15,0.234375,0,2004,moderate
Inflamm/Necrosis,nz210,False,64,12,0.1875,0,2004,moderate
Inflamm/Necrosis,p1000,True,64,47,0.734375,0,2004,moderate
SCC,cs2,True,188,148,0.7872340425531915,0,2004,moderate
SCC,gt450,True,188,152,0.8085106382978723,0,2004,moderate
SCC,nz20,False,188,40,0.2127659574468085,0,2004,moderate
SCC,nz210,False,188,44,0.23404255319148937,0,2004,moderate
SCC,p1000,False,188,28,0.14893617021276595,0,2004,moderate
Subcutis,cs2,True,87,60,0.6896551724137931,0,2004,moderate
Subcutis,gt450,False,87,14,0.16091954022988506,0,2004,moderate
Subcutis,nz20,True,87,79,0.9080459770114943,0,2004,moderate
Subcutis,nz210,False,87,21,0.2413793103448276,0,2004,moderate
Subcutis,p1000,False,87,17,0.19540229885057472,0,2004,moderate
Bone,cs2,False,30,1,0.03333333333333333,0,2004,severe
Bone,gt450,False,30,2,0.06666666666666667,0,2004,severe
Bone,nz20,True,30,28,0.9333333333333333,0,2004,severe
Bone,nz210,True,30,29,0.9666666666666667,0,2004,severe
Bone,p1000,False,30,1,0.03333333333333333,0,2004,severe
Cartilage,cs2,False,2,0,0.0,0,2004,severe
Cartilage,gt450,True,2,2,1.0,0,2004,severe
Cartilage,nz20,True,2,1,0.5,0,2004,severe
Cartilage,nz210,False,2,0,0.0,0,2004,severe
Cartilage,p1000,False,2,1,0.5,0,2004,severe
Dermis,cs2,False,81,2,0.024691358024691357,0,2004,severe
Dermis,gt450,False,81,5,0.06172839506172839,0,2004,severe
Dermis,nz20,True,81,77,0.9506172839506173,0,2004,severe
Dermis,nz210,False,81,5,0.06172839506172839,0,2004,severe
Dermis,p1000,True,81,76,0.9382716049382716,0,2004,severe
Epidermis,cs2,True,209,200,0.9569377990430622,0,2004,severe
Epidermis,gt450,False,209,9,0.0430622009569378,0,2004,severe
Epidermis,nz20,False,209,14,0.06698564593301436,0,2004,severe
Epidermis,nz210,True,209,197,0.9425837320574163,0,2004,severe
Epidermis,p1000,False,209,8,0.03827751196172249,0,2004,severe
Inflamm/Necrosis,cs2,True,64,62,0.96875,0,2004,severe
Inflamm/Necrosis,gt450,True,64,59,0.921875,0,2004,severe
Inflamm/Necrosis,nz20,False,64,2,0.03125,0,2004,severe
Inflamm/Necrosis,nz210,False,64,3,0.046875,0,2004,severe
Inflamm/Necrosis,p1000,False,64,4,0.0625,0,2004,severe
SCC,cs2,True,188,182,0.9680851063829787,0,2004,severe
SCC,gt450,False,188,6,0.031914893617021274,0,2004,severe
SCC,nz20,False,188,10,0.05319148936170213,0,2004,severe
SCC,nz210,True,188,175,0.9308510638297872,0,2004,severe
SCC,p1000,False,188,12,0.06382978723404255,0,2004,severe
Subcutis,cs2,True,87,82,0.9425287356321839,0,2004,severe
Subcutis,gt450,True,87,83,0.9540229885057471,0,2004,severe
Subcutis,nz20,False,87,0,0.0,0,2004,severe
Subcutis,nz210,False,87,9,0.10344827586206896,0,2004,severe
Subcutis,p1000,False,87,4,0.04597701149425287,0,2004,severe
Bone,cs2,False,30,11,0.36666666666666664,0,2005,mild
Bone,gt450,True,30,18,0.6,0,2005,mild
Bone,nz20,False,30,13,0.43333333333333335,0,2005,mild
Bone,nz210,True,30,18,0.6,0,2005,mild
Bone,p1000,False,30,12,0.4,0,2005,mild
Cartilage,cs2,False,2,1,0.5,0,2005,mild
Cartilage,gt450,True,2,1,0.5,0,2005,mild
Cartilage,nz20,False,2,0,0.0,0,2005,mild
Cartilage,nz210,False,2,1,0.5,0,2005,mild
Cartilage,p1000,True,2,1,0.5,0,2005,mild
Dermis,cs2,True,81,53,0.654320987654321,0,2005,mild
Dermis,gt450,False,81,30,0.37037037037037035,0,2005,mild
Dermis,nz20,True,81,44,0.5432098765432098,0,2005,mild
Dermis,nz210,False,81,31,0.38271604938271603,0,2005,mild
Dermis,p1000,False,81,36,0.4444444444444444,0,2005,mild
Epidermis,cs2,False,209,76,0.36363636363636365,0,2005,mild
Epidermis,gt450,False,209,89,0.4258373205741627,0,2005,mild
Epidermis,nz20,False,209,85,0.40669856459330145,0,2005,mild
